Model,MAE,RMSE,R2
Linear Regression,2029.748746198365,2791.374586044659,0.19252618155667367
ANN,1539.3857421875,2119.9655657580856,0.5342532396316528
LSTM,1087.181236578256,1600.6235871190916,0.1451532731363001
Backpropagation,1812.4361572265625,2507.682794932405,0.3483154773712158
